Entry,Entry name,Status,Annotation,Cross-reference (DrugBank)
Q8IX12,CCAR1_HUMAN,reviewed,5 out of 5,
Q6P9F0,CCD62_HUMAN,reviewed,5 out of 5,
E3P6P3,CYT_MICIK,reviewed,2 out of 5,
Q08495,DEMA_HUMAN,reviewed,5 out of 5,
Q13541,4EBP1_HUMAN,reviewed,5 out of 5,
P38398,BRCA1_HUMAN,reviewed,5 out of 5,
Q07912,ACK1_HUMAN,reviewed,5 out of 5,DB00171;DB04367;DB11986;DB12010;
P22223,CADH3_HUMAN,reviewed,5 out of 5,
E3P6P1,CYT_CRYNI,reviewed,2 out of 5,
P35221,CTNA1_HUMAN,reviewed,5 out of 5,
Q2F7I8,ENV_XMRV4,reviewed,5 out of 5,
Q8TD06,AGR3_HUMAN,reviewed,5 out of 5,
Q14AT5,ANO7_MOUSE,reviewed,5 out of 5,
P15207,ANDR_RAT,reviewed,5 out of 5,
Q86VP6,CAND1_HUMAN,reviewed,5 out of 5,
A1L3X0,ELOV7_HUMAN,reviewed,5 out of 5,
Q13618,CUL3_HUMAN,reviewed,5 out of 5,
P23229,ITA6_HUMAN,reviewed,5 out of 5,
Q6QT55,ANDR_MACMU,reviewed,5 out of 5,
Q9Y3E7,CHMP3_HUMAN,reviewed,5 out of 5,
P54105,ICLN_HUMAN,reviewed,5 out of 5,
Q9UNF1,MAGD2_HUMAN,reviewed,5 out of 5,
Q62240,KDM5D_MOUSE,reviewed,5 out of 5,
A0A319DV72,MLFA_ASPSB,reviewed,3 out of 5,
C0HJA4,LECB2_CRATA,reviewed,3 out of 5,
Q107X0,KRIP1_HUMAN,reviewed,3 out of 5,
P18054,LOX12_HUMAN,reviewed,5 out of 5,
P20794,MAK_HUMAN,reviewed,5 out of 5,
Q538Z0,LUZP6_HUMAN,reviewed,2 out of 5,
P19338,NUCL_HUMAN,reviewed,5 out of 5,
Q8N668,COMD1_HUMAN,reviewed,5 out of 5,
Q8CJH2,DAB1_RAT,reviewed,5 out of 5,
Q2F7J1,ENV_XMRV3,reviewed,5 out of 5,
Q9UM11,FZR1_HUMAN,reviewed,5 out of 5,
P46940,IQGA1_HUMAN,reviewed,5 out of 5,DB11638;
P15311,EZRI_HUMAN,reviewed,5 out of 5,
Q27ID9,GAG_XMRV6,reviewed,5 out of 5,
Q12794,HYAL1_HUMAN,reviewed,5 out of 5,
P17936,IBP3_HUMAN,reviewed,5 out of 5,DB00523;DB01277;
O60841,IF2P_HUMAN,reviewed,5 out of 5,
Q9BZQ8,NIBA1_HUMAN,reviewed,5 out of 5,
O43318,M3K7_HUMAN,reviewed,5 out of 5,
Q04609,FOLH1_HUMAN,reviewed,5 out of 5,DB06928;DB00089;DB07754;DB00142;DB08835;
P08238,HS90B_HUMAN,reviewed,5 out of 5,DB08293;DB08153;DB08292;DB08346;DB08465;DB08045;DB07877;DB02754;DB07594;DB02424;DB08464;DB09221;DB03758;DB06070;DB05134;
Q00839,HNRPU_HUMAN,reviewed,5 out of 5,
Q9BQ69,MACD1_HUMAN,reviewed,5 out of 5,
Q16270,IBP7_HUMAN,reviewed,5 out of 5,DB00071;
A2QYX4,MLFA_ASPNC,reviewed,3 out of 5,
P10909,CLUS_HUMAN,reviewed,5 out of 5,DB09130;DB01593;DB14487;DB14533;DB14548;
Q8TCG1,CIP2A_HUMAN,reviewed,5 out of 5,
P16591,FER_HUMAN,reviewed,5 out of 5,DB12010;
Q9Y5R6,DMRT1_HUMAN,reviewed,5 out of 5,
Q27ID8,ENV_XMRV6,reviewed,5 out of 5,
Q8TCJ0,FBX25_HUMAN,reviewed,5 out of 5,
Q96FX8,PERP_HUMAN,reviewed,5 out of 5,
O60716,CTND1_HUMAN,reviewed,5 out of 5,
P51959,CCNG1_HUMAN,reviewed,5 out of 5,
P0CG10,DERPC_BOVIN,reviewed,2 out of 5,
P0CG14,DERPC_MOUSE,reviewed,2 out of 5,
B2RYL1,DERPC_RAT,reviewed,2 out of 5,
Q96RQ1,ERGI2_HUMAN,reviewed,5 out of 5,
O76087,GAGE7_HUMAN,reviewed,3 out of 5,
P52951,GBX2_HUMAN,reviewed,5 out of 5,
O60934,NBN_HUMAN,reviewed,5 out of 5,
Q13772,NCOA4_HUMAN,reviewed,5 out of 5,
P12830,CADH1_HUMAN,reviewed,5 out of 5,
P17844,DDX5_HUMAN,reviewed,5 out of 5,DB11638;
O60832,DKC1_HUMAN,reviewed,5 out of 5,
Q86SG4,DPCA2_HUMAN,reviewed,2 out of 5,
Q13451,FKBP5_HUMAN,reviewed,5 out of 5,
Q9JIP6,FZD2_MOUSE,reviewed,5 out of 5,
U3KRG0,LECB1_CRATA,reviewed,4 out of 5,
O75444,MAF_HUMAN,reviewed,5 out of 5,
A0A395I3F8,MLFA_ASPHC,reviewed,3 out of 5,
A0A1M3T4K3,MLFA_ASPLC,reviewed,3 out of 5,
Q96PH1,NOX5_HUMAN,reviewed,5 out of 5,
Q9BZQ4,NMNA2_HUMAN,reviewed,5 out of 5,
Q9H1E3,NUCKS_HUMAN,reviewed,5 out of 5,
Q6P730,DAB2P_RAT,reviewed,5 out of 5,
Q9H334,FOXP1_HUMAN,reviewed,5 out of 5,
P27487,DPP4_HUMAN,reviewed,5 out of 5,DB07356;DB06880;DB07072;DB07465;DB08051;DB07081;DB07482;DB07193;DB03253;DB07092;DB07135;DB06994;DB07067;DB06993;DB07154;DB08164;DB07015;DB07851;DB08445;DB07666;DB07830;DB07021;DB04578;DB04577;DB08024;DB07412;DB08588;DB08743;DB01884;DB07181;DB07271;DB08672;DB03660;DB02004;DB08504;DB07239;DB08530;DB08044;DB06203;DB06011;DB01076;DB06127;DB04491;DB11723;DB01276;DB08382;DB08882;DB06655;DB07328;DB06939;DB07779;DB08429;DB05001;DB06335;DB13928;DB01261;DB04876;
Q8NDI1,EHBP1_HUMAN,reviewed,5 out of 5,
Q92731,ESR2_HUMAN,reviewed,5 out of 5,DB07638;DB07036;DB08020;DB07757;DB07119;DB07702;DB07032;DB07009;DB13869;DB07236;DB07230;DB04020;DB07150;DB06937;DB03882;DB07198;DB06927;DB04468;DB06249;DB06401;DB01878;DB05882;DB00286;DB00255;DB11219;DB11674;DB06875;DB07933;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB01196;DB04573;DB14641;DB00655;DB04574;DB09086;DB15690;DB01645;DB03860;DB06202;DB05052;DB03467;DB09535;DB01428;DB02983;DB02746;DB01708;DB06832;DB00396;DB02757;DB04216;DB00481;DB00675;DB05966;DB01108;
P07203,GPX1_HUMAN,reviewed,5 out of 5,DB09061;DB00143;DB03310;DB11091;DB14009;DB14011;DB09221;DB11127;DB11590;
P49841,GSK3B_HUMAN,reviewed,5 out of 5,DB08073;DB07149;DB07014;DB07676;DB01772;DB07859;DB07585;DB07058;DB03444;DB04014;DB01950;DB12010;DB02052;DB07947;DB14509;DB01356;DB14507;DB14508;DB07812;DB07584;DB04395;DB01793;DB02010;DB12129;
P10721,KIT_HUMAN,reviewed,5 out of 5,DB06080;DB12742;DB09103;DB15233;DB01254;DB12147;DB12010;DB00619;DB09078;DB06595;DB04868;DB05913;DB06589;DB12978;DB01962;DB08901;DB08896;DB14840;DB00398;DB01268;DB05146;
Q13442,HAP28_HUMAN,reviewed,4 out of 5,
P12814,ACTN1_HUMAN,reviewed,5 out of 5,DB09130;DB06773;
E3P6N9,CYT_TROCA,reviewed,2 out of 5,
Q15369,ELOC_HUMAN,reviewed,5 out of 5,
Q9NZC4,EHF_HUMAN,reviewed,5 out of 5,
Q03113,GNA12_HUMAN,reviewed,5 out of 5,
Q14344,GNA13_HUMAN,reviewed,5 out of 5,
Q8TDV2,GP148_HUMAN,reviewed,4 out of 5,
Q8NEM0,MCPH1_HUMAN,reviewed,5 out of 5,
P78413,IRX4_HUMAN,reviewed,5 out of 5,
Q969P0,IGSF8_HUMAN,reviewed,5 out of 5,
Q30DN6,KDM5D_CANLF,reviewed,4 out of 5,
Q9BY66,KDM5D_HUMAN,reviewed,5 out of 5,DB00126;
N0EAL3,NDB28_ANDMU,reviewed,3 out of 5,
Q6IA86,ELP2_HUMAN,reviewed,5 out of 5,
Q8NFI4,F10A5_HUMAN,reviewed,3 out of 5,
P05412,JUN_HUMAN,reviewed,5 out of 5,DB00210;DB01169;DB01029;DB05785;DB00852;DB00570;
Q99527,GPER1_HUMAN,reviewed,5 out of 5,DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB01645;DB05939;
O00270,GPR31_HUMAN,reviewed,5 out of 5,
Q4ZG55,GREB1_HUMAN,reviewed,5 out of 5,
P13861,KAP2_HUMAN,reviewed,5 out of 5,DB05798;
Q05209,PTN12_HUMAN,reviewed,5 out of 5,DB01133;
P49736,MCM2_HUMAN,reviewed,5 out of 5,
P25205,MCM3_HUMAN,reviewed,5 out of 5,
Q9BRT3,MIEN1_HUMAN,reviewed,5 out of 5,
P55081,MFAP1_HUMAN,reviewed,5 out of 5,
Q96L73,NSD1_HUMAN,reviewed,5 out of 5,
P11717,MPRI_HUMAN,reviewed,5 out of 5,DB02900;DB13173;DB01277;DB14751;
Q9Y6Q9,NCOA3_HUMAN,reviewed,5 out of 5,
Q9UJF2,NGAP_HUMAN,reviewed,5 out of 5,
Q16512,PKN1_HUMAN,reviewed,5 out of 5,DB12010;
Q6P5Z2,PKN3_HUMAN,reviewed,5 out of 5,
Q6UXB8,PI16_HUMAN,reviewed,5 out of 5,
Q96J94,PIWL1_HUMAN,reviewed,5 out of 5,
O75928,PIAS2_HUMAN,reviewed,5 out of 5,
Q9Y6X2,PIAS3_HUMAN,reviewed,5 out of 5,
O75688,PPM1B_HUMAN,reviewed,5 out of 5,
Q149M9,NWD1_HUMAN,reviewed,5 out of 5,
Q86Z02,HIPK1_HUMAN,reviewed,5 out of 5,
P07900,HS90A_HUMAN,reviewed,5 out of 5,DB07317;DB08197;DB08443;DB08557;DB08789;DB06969;DB08788;DB07324;DB02840;DB03749;DB08787;DB08786;DB07502;DB07100;DB06957;DB07601;DB08194;DB08442;DB07495;DB06964;DB06961;DB06958;DB07319;DB03137;DB03093;DB02550;DB04505;DB07877;DB04254;DB08436;DB04054;DB02359;DB03504;DB02754;DB03809;DB03899;DB12442;DB07594;DB09130;DB02424;DB06956;DB07325;DB04588;DB00716;DB09221;DB04216;DB00615;DB06070;DB05134;
Q1L6U9,MSMP_HUMAN,reviewed,4 out of 5,
Q2TBC4,PRIC4_HUMAN,reviewed,4 out of 5,
O75747,P3C2G_HUMAN,reviewed,5 out of 5,DB12010;
Q6UWI2,PARM1_HUMAN,reviewed,5 out of 5,
Q02156,KPCE_HUMAN,reviewed,5 out of 5,DB11752;DB12010;DB06064;DB00675;
O60711,LPXN_HUMAN,reviewed,5 out of 5,
Q92597,NDRG1_HUMAN,reviewed,5 out of 5,
P46821,MAP1B_HUMAN,reviewed,5 out of 5,
Q9Y6D9,MD1L1_HUMAN,reviewed,5 out of 5,
Q9H2R5,KLK15_HUMAN,reviewed,5 out of 5,
Q5XUN4,KDM5D_PANTR,reviewed,4 out of 5,
P42166,LAP2A_HUMAN,reviewed,5 out of 5,
P42167,LAP2B_HUMAN,reviewed,5 out of 5,
A0A317VEE1,MLFA_ASPEC,reviewed,3 out of 5,
A0A319A6V2,MLFA_ASPLB,reviewed,3 out of 5,
A0A318Z3U0,MLFA_ASPNB,reviewed,3 out of 5,
A0A319BQC1,MLFA_ASPVC,reviewed,3 out of 5,
Q99801,NKX31_HUMAN,reviewed,5 out of 5,
O95665,NTR2_HUMAN,reviewed,5 out of 5,DB01106;
Q04900,MUC24_HUMAN,reviewed,5 out of 5,
O75459,PAGE1_HUMAN,reviewed,5 out of 5,
O60829,PAGE4_HUMAN,reviewed,5 out of 5,
P11309,PIM1_HUMAN,reviewed,5 out of 5,DB08022;DB03650;DB07242;DB08166;DB08709;DB01754;DB07151;DB08707;DB08705;DB03777;DB04522;DB12010;DB03366;DB04715;DB02656;DB08708;DB07524;DB04395;DB04216;DB04530;DB02010;DB08230;
D3DTV9,PRAC2_HUMAN,reviewed,2 out of 5,
P30989,NTR1_HUMAN,reviewed,5 out of 5,
Q9Y6I8,PXMP4_HUMAN,reviewed,4 out of 5,
Q92993,KAT5_HUMAN,reviewed,5 out of 5,DB01992;DB02039;
O43240,KLK10_HUMAN,reviewed,4 out of 5,
A0A1L9U7P9,MLFA_ASPBC,reviewed,3 out of 5,
G3XUF0,MLFA_ASPNA,reviewed,3 out of 5,
Q15743,OGR1_HUMAN,reviewed,5 out of 5,
O00264,PGRC1_HUMAN,reviewed,5 out of 5,DB00514;DB00540;DB01104;
O15541,R113A_HUMAN,reviewed,5 out of 5,
P09619,PGFRB_HUMAN,reviewed,5 out of 5,DB00102;DB01254;DB12147;DB10770;DB12010;DB00619;DB06595;DB09079;DB06589;DB12978;DB09221;DB15822;DB08896;DB14840;DB00398;DB01268;DB09283;DB05146;DB05014;
Q969W9,PMEPA_HUMAN,reviewed,5 out of 5,
Q8N271,PROM2_HUMAN,reviewed,5 out of 5,
P15309,PPAP_HUMAN,reviewed,5 out of 5,DB03390;DB03577;DB06688;
Q9UKM9,RALY_HUMAN,reviewed,5 out of 5,
Q8IZL9,CDK20_HUMAN,reviewed,5 out of 5,
P56937,DHB7_HUMAN,reviewed,5 out of 5,DB00157;
Q6P1J9,CDC73_HUMAN,reviewed,5 out of 5,
P27701,CD82_HUMAN,reviewed,5 out of 5,
Q2F7I9,GAG_XMRV4,reviewed,5 out of 5,
P51858,HDGF_HUMAN,reviewed,5 out of 5,DB09130;
Q96PU5,NED4L_HUMAN,reviewed,5 out of 5,
Q8K045,PKN3_MOUSE,reviewed,5 out of 5,
Q8R366,IGSF8_MOUSE,reviewed,5 out of 5,
Q8NAC3,I17RC_HUMAN,reviewed,5 out of 5,
Q9UL03,INT6_HUMAN,reviewed,5 out of 5,
P78411,IRX5_HUMAN,reviewed,5 out of 5,
Q9Y2M5,KLH20_HUMAN,reviewed,5 out of 5,
O75376,NCOR1_HUMAN,reviewed,5 out of 5,
O94851,MICA2_HUMAN,reviewed,5 out of 5,
Q9H8P0,PORED_HUMAN,reviewed,5 out of 5,DB00717;DB00421;DB13943;DB13944;DB01420;DB13946;
Q9Y4L5,RN115_HUMAN,reviewed,5 out of 5,
Q02880,TOP2B_HUMAN,reviewed,5 out of 5,DB08651;DB05022;DB06362;DB00970;DB00694;DB06421;DB00380;DB00773;DB04395;DB05488;DB06042;
O15393,TMPS2_HUMAN,reviewed,5 out of 5,DB13729;
Q5MJ08,SPXN4_HUMAN,reviewed,2 out of 5,
Q9HD64,XAGE1_HUMAN,reviewed,4 out of 5,
O15164,TIF1A_HUMAN,reviewed,5 out of 5,
Q9Y4C2,TCAF1_HUMAN,reviewed,5 out of 5,
Q01831,XPC_HUMAN,reviewed,5 out of 5,
A1Z651,POL_XMRV6,reviewed,5 out of 5,
Q6UWB4,PRS55_HUMAN,reviewed,5 out of 5,
Q13610,PWP1_HUMAN,reviewed,5 out of 5,
Q12974,TP4A2_HUMAN,reviewed,5 out of 5,
Q14166,TTL12_HUMAN,reviewed,5 out of 5,
Q01534,TSPY1_HUMAN,reviewed,5 out of 5,
Q16637,SMN_HUMAN,reviewed,5 out of 5,
P25788,PSA3_HUMAN,reviewed,5 out of 5,DB08515;DB12695;
P17812,PYRG1_HUMAN,reviewed,5 out of 5,DB00130;
Q5VSR9,SPXN1_HUMAN,reviewed,2 out of 5,
Q5T5J6,SWT1_HUMAN,reviewed,3 out of 5,
P49796,RGS3_HUMAN,reviewed,5 out of 5,
Q15185,TEBP_HUMAN,reviewed,5 out of 5,DB00316;DB09130;DB05036;
Q9Y5X1,SNX9_HUMAN,reviewed,5 out of 5,
Q64127,TIF1A_MOUSE,reviewed,5 out of 5,
Q8WUY3,PRUN2_HUMAN,reviewed,5 out of 5,
P45658,SCX4_ANDAU,reviewed,5 out of 5,
P40763,STAT3_HUMAN,reviewed,5 out of 5,DB05959;
P42227,STAT3_MOUSE,reviewed,5 out of 5,
Q9NS26,SPNXA_HUMAN,reviewed,4 out of 5,
P23512,FOXA1_RAT,reviewed,5 out of 5,
O14818,PSA7_HUMAN,reviewed,5 out of 5,DB08515;DB07558;
Q13547,HDAC1_HUMAN,reviewed,5 out of 5,DB12565;DB01169;DB05015;DB08868;DB11830;DB06603;DB05223;DB06176;DB02546;DB01593;DB14487;DB14533;DB14548;
Q9Y337,KLK5_HUMAN,reviewed,5 out of 5,
G7XQ31,MLFA_ASPKW,reviewed,3 out of 5,
A0A1L9NGU5,MLFA_ASPTC,reviewed,3 out of 5,
P35579,MYH9_HUMAN,reviewed,5 out of 5,DB11638;
Q9NTI5,PDS5B_HUMAN,reviewed,5 out of 5,
Q6TRW4,PDS5B_RAT,reviewed,5 out of 5,
Q8IYK4,GT252_HUMAN,reviewed,5 out of 5,
P27816,MAP4_HUMAN,reviewed,5 out of 5,DB11638;DB01248;DB01229;
O15553,MEFV_HUMAN,reviewed,5 out of 5,
Q8TCB6,O51E1_HUMAN,reviewed,4 out of 5,
P57771,RGS8_HUMAN,reviewed,5 out of 5,
Q3B7M7,RMP_BOVIN,reviewed,5 out of 5,
Q95KI5,S45A3_MACFA,reviewed,2 out of 5,
Q9UIK5,TEFF2_HUMAN,reviewed,5 out of 5,
Q9WTP3,SPDEF_MOUSE,reviewed,5 out of 5,
Q13043,STK4_HUMAN,reviewed,5 out of 5,
Q58A44,PCOTH_HUMAN,reviewed,2 out of 5,
Q9NQU5,PAK6_HUMAN,reviewed,5 out of 5,DB12010;
P29590,PML_HUMAN,reviewed,5 out of 5,DB01169;
Q8IZP2,ST134_HUMAN,reviewed,3 out of 5,
Q8N695,SC5A8_HUMAN,reviewed,5 out of 5,DB01762;DB00121;DB08872;DB08949;DB00627;
P36897,TGFR1_HUMAN,reviewed,5 out of 5,DB07267;DB04480;DB03921;DB12010;DB08450;DB07152;DB04434;
Q15746,MYLK_HUMAN,reviewed,5 out of 5,DB12010;
P50539,MXI1_HUMAN,reviewed,5 out of 5,
O00567,NOP56_HUMAN,reviewed,5 out of 5,
Q9H255,O51E2_HUMAN,reviewed,5 out of 5,
Q9Y618,NCOR2_HUMAN,reviewed,5 out of 5,
P67775,PP2AA_HUMAN,reviewed,5 out of 5,DB06905;DB02506;DB00163;
O00592,PODXL_HUMAN,reviewed,5 out of 5,
Q8N2W9,PIAS4_HUMAN,reviewed,5 out of 5,
O46685,OGR1_BOVIN,reviewed,3 out of 5,
Q92781,RDH5_HUMAN,reviewed,5 out of 5,DB00157;DB00162;
Q12770,SCAP_HUMAN,reviewed,5 out of 5,
Q9ULU4,PKCB1_HUMAN,reviewed,5 out of 5,
Q86YR6,POTED_HUMAN,reviewed,3 out of 5,
O75925,PIAS1_HUMAN,reviewed,5 out of 5,
Q96IZ0,PAWR_HUMAN,reviewed,5 out of 5,
Q2F7J3,POL_XMRV3,reviewed,5 out of 5,
P27169,PON1_HUMAN,reviewed,5 out of 5,DB01327;DB09130;DB01395;DB14598;DB14600;DB14596;DB01593;DB14487;DB14533;DB14548;
O95238,SPDEF_HUMAN,reviewed,5 out of 5,
A0A0F6T5G3,A0A0F6T5G3_9RHAB,unreviewed,4 out of 5,
A0A0F6T4R2,A0A0F6T4R2_9RHAB,unreviewed,4 out of 5,
A0A0F6QN84,A0A0F6QN84_9RHAB,unreviewed,2 out of 5,
A0A0F6T5G9,A0A0F6T5G9_9RHAB,unreviewed,4 out of 5,
A0A0F6T5G7,A0A0F6T5G7_9RHAB,unreviewed,2 out of 5,
A0A0F6T4Q6,A0A0F6T4Q6_9RHAB,unreviewed,2 out of 5,
A0A0F6QND2,A0A0F6QND2_9RHAB,unreviewed,2 out of 5,
A0A0F6QN82,A0A0F6QN82_9RHAB,unreviewed,2 out of 5,
A0A0F6QME3,A0A0F6QME3_9RHAB,unreviewed,2 out of 5,
A0A0F6T5G5,A0A0F6T5G5_9RHAB,unreviewed,4 out of 5,
A0A0F6T5D9,A0A0F6T5D9_9RHAB,unreviewed,4 out of 5,
A0A0F6QPJ6,A0A0F6QPJ6_9RHAB,unreviewed,1 out of 5,
A0A0F6T5H5,A0A0F6T5H5_9RHAB,unreviewed,4 out of 5,
A0A0F6QM73,A0A0F6QM73_9RHAB,unreviewed,1 out of 5,
I4IY07,I4IY07_CANLF,unreviewed,2 out of 5,
A0A0F6QNC7,A0A0F6QNC7_9RHAB,unreviewed,2 out of 5,
A0A0F6T4N9,A0A0F6T4N9_9RHAB,unreviewed,4 out of 5,
A0A0F6T5H7,A0A0F6T5H7_9RHAB,unreviewed,4 out of 5,
A0A0F6T4N3,A0A0F6T4N3_9RHAB,unreviewed,2 out of 5,
A0A0F6T4S2,A0A0F6T4S2_9RHAB,unreviewed,4 out of 5,
A0A0F6QM76,A0A0F6QM76_9RHAB,unreviewed,1 out of 5,
A0A0F6QM70,A0A0F6QM70_9RHAB,unreviewed,1 out of 5,
A0A0F6QPI6,A0A0F6QPI6_9RHAB,unreviewed,1 out of 5,
A0A0F6QNA7,A0A0F6QNA7_9RHAB,unreviewed,2 out of 5,
A0A0F6T5K1,A0A0F6T5K1_9RHAB,unreviewed,4 out of 5,
A0A0F6T5I1,A0A0F6T5I1_9RHAB,unreviewed,4 out of 5,
A0A0F6QNB5,A0A0F6QNB5_9RHAB,unreviewed,2 out of 5,
A0A0F6T4P8,A0A0F6T4P8_9RHAB,unreviewed,4 out of 5,
A0A3Q1LQZ8,A0A3Q1LQZ8_BOVIN,unreviewed,1 out of 5,
A0A7F8K9X2,A0A7F8K9X2_DELLE,unreviewed,1 out of 5,
Q32WI8,Q32WI8_PANTR,unreviewed,1 out of 5,
Q9ESV9,Q9ESV9_RAT,unreviewed,1 out of 5,
Q8CGW6,Q8CGW6_RAT,unreviewed,1 out of 5,
Q9ESV8,Q9ESV8_RAT,unreviewed,1 out of 5,
Q924J9,Q924J9_MOUSE,unreviewed,1 out of 5,
A0A6G0J2K1,A0A6G0J2K1_LARCR,unreviewed,1 out of 5,
A0A0F6T5J0,A0A0F6T5J0_9RHAB,unreviewed,4 out of 5,
A0A0F6QNC1,A0A0F6QNC1_9RHAB,unreviewed,2 out of 5,
A0A0F6QPH5,A0A0F6QPH5_9RHAB,unreviewed,1 out of 5,
A0A0F6T4N7,A0A0F6T4N7_9RHAB,unreviewed,4 out of 5,
A0A0F6T4T5,A0A0F6T4T5_9RHAB,unreviewed,4 out of 5,
A0A0F6QNC4,A0A0F6QNC4_9RHAB,unreviewed,2 out of 5,
A0A0F6T5K0,A0A0F6T5K0_9RHAB,unreviewed,4 out of 5,
A0A0F6T5J2,A0A0F6T5J2_9RHAB,unreviewed,4 out of 5,
A0A0F6QND5,A0A0F6QND5_9RHAB,unreviewed,2 out of 5,
A0A0F6T4Q8,A0A0F6T4Q8_9RHAB,unreviewed,4 out of 5,
A0A0F6QPI9,A0A0F6QPI9_9RHAB,unreviewed,1 out of 5,
A0A0F6T5I8,A0A0F6T5I8_9RHAB,unreviewed,4 out of 5,
A0A0F6QNB8,A0A0F6QNB8_9RHAB,unreviewed,2 out of 5,
A0A0F6T5F0,A0A0F6T5F0_9RHAB,unreviewed,4 out of 5,
A0A0F6T4R9,A0A0F6T4R9_9RHAB,unreviewed,4 out of 5,
A0A0F6T5H1,A0A0F6T5H1_9RHAB,unreviewed,4 out of 5,
A0A0F6T4Q1,A0A0F6T4Q1_9RHAB,unreviewed,4 out of 5,
A0A0F6T5F9,A0A0F6T5F9_9RHAB,unreviewed,2 out of 5,
A0A0F6QN96,A0A0F6QN96_9RHAB,unreviewed,2 out of 5,
Q0ZNL1,Q0ZNL1_CANLF,unreviewed,1 out of 5,
Q0ZNL0,Q0ZNL0_CANLF,unreviewed,1 out of 5,
A0A7E6CM65,A0A7E6CM65_9CHIR,unreviewed,1 out of 5,
A0A6J3A5R9,A0A6J3A5R9_VICPA,unreviewed,1 out of 5,
A0A6J3QF57,A0A6J3QF57_TURTR,unreviewed,1 out of 5,
Q0ZNK8,Q0ZNK8_CANLF,unreviewed,1 out of 5,
Q0ZNL6,Q0ZNL6_CANLU,unreviewed,1 out of 5,
Q0ZNL7,Q0ZNL7_CANLU,unreviewed,1 out of 5,
Q0ZNK2,Q0ZNK2_PANTR,unreviewed,1 out of 5,
A0A7F8QI41,A0A7F8QI41_LEPWE,unreviewed,1 out of 5,
Q4F5X8,Q4F5X8_HUMAN,unreviewed,3 out of 5,
Q36733,Q36733_HUMAN,unreviewed,3 out of 5,
E9PL71,E9PL71_HUMAN,unreviewed,1 out of 5,
Q0P6N6,Q0P6N6_HUMAN,unreviewed,2 out of 5,
Q9B1K9,Q9B1K9_HUMAN,unreviewed,2 out of 5,
B2XGZ3,B2XGZ3_HUMAN,unreviewed,2 out of 5,
G3XAM7,G3XAM7_HUMAN,unreviewed,3 out of 5,
C3TX97,C3TX97_HUMAN,unreviewed,1 out of 5,
Q7GXZ5,Q7GXZ5_HUMAN,unreviewed,3 out of 5,
Q85KW9,Q85KW9_HUMAN,unreviewed,2 out of 5,
A0A6P9F4V7,A0A6P9F4V7_ZALCA,unreviewed,1 out of 5,
F6XMP7,F6XMP7_CANLF,unreviewed,3 out of 5,
A0A6J3ICE6,A0A6J3ICE6_SAPAP,unreviewed,1 out of 5,
Q6SJ85,Q6SJ85_9PRIM,unreviewed,1 out of 5,
I7GKT2,I7GKT2_MACFA,unreviewed,1 out of 5,
D5L9K4,D5L9K4_9GAMR,unreviewed,1 out of 5,
H6WAZ9,H6WAZ9_9GAMR,unreviewed,1 out of 5,
D5L9L7,D5L9L7_9GAMR,unreviewed,1 out of 5,
F8UU42,F8UU42_9GAMR,unreviewed,1 out of 5,
F2QL75,F2QL75_9GAMR,unreviewed,2 out of 5,
F8UU39,F8UU39_9GAMR,unreviewed,1 out of 5,
F8UU37,F8UU37_9GAMR,unreviewed,2 out of 5,
D5L9K9,D5L9K9_9GAMR,unreviewed,1 out of 5,
F2QL69,F2QL69_9GAMR,unreviewed,1 out of 5,
D5L9L1,D5L9L1_9GAMR,unreviewed,1 out of 5,
F4YFL0,F4YFL0_9GAMR,unreviewed,2 out of 5,
D5L9L3,D5L9L3_9GAMR,unreviewed,1 out of 5,
D5L9L5,D5L9L5_9GAMR,unreviewed,1 out of 5,
H6WB02,H6WB02_9GAMR,unreviewed,1 out of 5,
F2QL64,F2QL64_9GAMR,unreviewed,1 out of 5,
D5L9K7,D5L9K7_9GAMR,unreviewed,1 out of 5,
F2QL70,F2QL70_9GAMR,unreviewed,1 out of 5,
H6WB01,H6WB01_9GAMR,unreviewed,1 out of 5,
F2QL66,F2QL66_9GAMR,unreviewed,1 out of 5,
F4YFK9,F4YFK9_9GAMR,unreviewed,2 out of 5,
H6WAZ7,H6WAZ7_9GAMR,unreviewed,1 out of 5,
F8UU41,F8UU41_9GAMR,unreviewed,5 out of 5,
F8UU43,F8UU43_9GAMR,unreviewed,2 out of 5,
H6WB00,H6WB00_9GAMR,unreviewed,1 out of 5,
F4YFK8,F4YFK8_9GAMR,unreviewed,1 out of 5,
F8UU38,F8UU38_9GAMR,unreviewed,5 out of 5,
D5L9L6,D5L9L6_9GAMR,unreviewed,1 out of 5,
F2QL73,F2QL73_9GAMR,unreviewed,4 out of 5,
F4YFL1,F4YFL1_9GAMR,unreviewed,1 out of 5,
F8UU35,F8UU35_9GAMR,unreviewed,5 out of 5,
D5L9K6,D5L9K6_9GAMR,unreviewed,1 out of 5,
F2QL68,F2QL68_9GAMR,unreviewed,1 out of 5,
F4YFK7,F4YFK7_9GAMR,unreviewed,1 out of 5,
F8LFQ8,F8LFQ8_9GAMR,unreviewed,4 out of 5,
D5L9L2,D5L9L2_9GAMR,unreviewed,1 out of 5,
F8LFQ9,F8LFQ9_9GAMR,unreviewed,2 out of 5,
